a52dec 0.7.4-12
acl 2.3.1-2
acpilight 1.2-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
advanced-rest-client 17.0.9-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.65-6
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
android-studio 2022.1.1.20-1
android-tools 33.0.3-3
android-udev 20230104-1
aom 3.6.0-1
apr 1.7.0-3
apr-util 1.6.1-11
archlinux-keyring 20230130-1
argon2 20190702-4
asunder 2.9.7-5
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.0.9-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.98-1
base 3-1
bash 5.1.016-3
bc 1.07.1-4
betterdiscord-installer-bin 1.2.0-1
bind 9.18.11-1
binutils 2.40-4
bison 3.8.2-4
blas 3.11.0-2
blueberry 1.4.8-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-tools 0.2.0-5
bluez-utils 5.66-1
bmon 4.0-4
boost-libs 1.81.0-3
box2d 2.4.1-1
bridge-utils 1.7.1-1
brotli 1.0.9-9
bspwm 0.9.10-2
btrfs-progs 6.1.3-1
bubblewrap 0.7.0-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.87-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cblas 3.11.0-2
cdparanoia 10.2-8
chromaprint 1.5.1-6
chrpath 0.16-4
clang 15.0.7-1
clucene 2.3.3.4-14
cmake 3.25.2-1
cmatrix 2.0-2
compiler-rt 15.0.7-1
confuse 3.3-3
containerd 1.6.16-1
coreimage 4.4.0-1
coreutils 9.1-3
cronie 1.6.1-1
cryptsetup 2.6.1-1
curl 7.87.0-3
cython 0.29.33-1
dav1d 1.0.0-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.6-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
debuginfod 0.188-3
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.18-4
dhcpcd 9.4.1-1
diffutils 3.8-1
dijo 0.2.7-1
discord 0.0.24-1
dmenu 5.2-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docker 1:23.0.1-1
dosfstools 4.2-3
double-conversion 3.2.1-1
duktape 2.7.0-5
dunst 1.9.0-1
e2fsprogs 1.47.0-1
efibootmgr 18-1
efivar 38-2
electron13 13.6.9-3
elfutils 0.188-3
ell 0.56-1
enchant 2.3.3-2
exa 0.10.1-6
exiv2 0.27.6-1
exodus 23.1.30-1
expat 2.5.0-1
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.31-2
fd 8.6.0-1
feh 3.9.1-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.44-1
filelight 22.12.2-1
filesystem 2023.01.31-1
findutils 4.9.0-2
firefox 109.0.1-1
flac 1.4.2-1
flameshot 12.1.0-1
flex 2.6.4-4
fluidsynth 2.3.1-1
font-manager 0.8.8-1
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.12-1
fstrm 0.6.1-1
fuse-common 3.13.0-1
fuse2 2.9.9-4
gawk 5.2.1-1
gc 8.2.2-1
gcc 12.2.1-2
gcc-libs 12.2.1-2
gd 2.3.3-6
gdb 12.1-2
gdb-common 12.1-2
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
gegl 0.4.40-4
geoip 1.6.12-2
geoip-database 20230120-1
gettext 0.21.1-2
ghostscript 10.0.0-4
giflib 5.2.1-2
gimp 2.10.32-3
git 2.39.1-1
glib-networking 1:2.74.0-1
glib2 2.74.5-1
glibc 2.37-2
glibmm 2.66.5-1
glslang 11.13.0-2
glu 9.0.2-3
gmp 6.2.1-2
gnome-bluetooth 3.34.5-4
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnutls 3.7.8-5
go 2:1.20-1
gobject-introspection-runtime 1.74.0-1
google-chrome 110.0.5481.77-1
gpgme 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
granite 6.2.0-2
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 7.1.0-1
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r456.g65bc45963-1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gssdp 1.6.2-1
gst-plugins-bad 1.22.0-3
gst-plugins-bad-libs 1.22.0-3
gst-plugins-base 1.22.0-3
gst-plugins-base-libs 1.22.0-3
gstreamer 1.22.0-3
gtk-update-icon-cache 1:4.8.3-3
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtk4 1:4.8.3-3
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.2.0-3
gzip 1.12-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
hicolor-icon-theme 0.17-2
hidapi 0.13.1-1
hiredis 1.1.0-1
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.366-1
hwloc 2.8.0-1
hyphen 2.8.8-5
i3lock-color 2.13.c.4-1
iana-etc 20221215-1
icu 72.1-2
icu55 55.2-1
ijs 0.35-5
imagemagick 7.1.0.61-1
imath 3.1.6-2
imlib2 1.10.0-3
inetutils 2.3-1
iniparser 4.1-4
iproute2 6.1.0-4
iptables 1:1.8.9-1
iputils 20221126-1
iso-codes 4.12.0-1
iwd 2.3-1
jack2 1.9.21-3
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.19-1
jdk11-openjdk 11.0.18.u10-2
